year,bulb_type,easter_date,removal_date,dbe,ship_date,avg_temp_from_removal_f,degree_hours_above_40f,yield_notes,yield_quality,grower_notes
2023,tulip 1/3,2023-04-09,2023-03-05,35.0,,41.2,1008.0000000000024,,,
2023,tulip 2/3,2023-04-09,2023-03-12,28.0,,44,2688,,,
2023,tulip ovals early,2023-04-09,,,,,0,,,
2023,tulip oval,2023-04-09,2023-03-12,28.0,,44.2,2822.400000000002,,,
2023,1/3 hyac+ pink surprise,2023-04-09,2023-03-15,25.0,,45.9,3539.999999999999,,,
2023,2/3 hyac,2023-04-09,2023-03-26,14.0,,48,2688,,,
2023,hyac oval,2023-04-09,2023-03-26,14.0,,50.1,3393.6000000000004,,,
2023,daf 1/3,2023-04-09,2023-03-12,28.0,,44,2688,,,
2023,daf 2/3,2023-04-09,2023-03-20,20.0,,46.3,3023.9999999999986,,,
2023,tet 1/3,2023-04-09,2023-03-12,28.0,,44,2688,,,
2023,tet 2/3,2023-04-09,2023-03-20,20.0,,46.3,3023.9999999999986,,,
2023,tet ovals,2023-04-09,2023-03-26,14.0,,50.3,3460.7999999999993,,,
2024,tulip 1/3,2024-03-31,2024-02-26,34.0,,35,0,,,
2024,tulip 2/3,2024-03-31,2024-03-02,29.0,,37.5,0,,,
2024,tulip ovals early,2024-03-31,,,,,0,,,
2024,tulip oval,2024-03-31,2024-02-29,31.0,,36,0,,,remainder 3/4
2024,1/3 hyac+ pink surprise,2024-03-31,2024-03-06,25.0,,40,0,,,
2024,2/3 hyac,2024-03-31,2024-03-12,19.0,,42.5,1140,,,
2024,hyac oval,2024-03-31,2024-03-17,14.0,,45,1680,,,
2024,daf 1/3,2024-03-31,2024-03-02,29.0,,37.5,0,,,
2024,daf 2/3,2024-03-31,2024-03-11,20.0,,42,960,,,
2024,tet 1/3,2024-03-31,2024-03-02,29.0,,37.5,0,,,
2024,tet 2/3,2024-03-31,2024-03-11,20.0,,42,960,,,
2024,tet ovals,2024-03-31,2024-03-17,14.0,,45,1680,,,
2025,tulip 1/3,2025-04-20,2025-03-04,47.0,,45,5640,,,
2025,tulip 2/3,2025-04-20,2025-03-23,28.0,,52,8064,,,
2025,tulip ovals early,2025-04-20,,,,53,,,,
2025,tulip oval,2025-04-20,2025-03-20,31.0,,51,8184,,,kikomachi 3/28
2025,1/3 hyac+ pink surprise,2025-04-20,2025-03-20,31.0,,56.5,12276,,,warm up gh 3/24
2025,2/3 hyac,2025-04-20,2025-04-03,17.0,,56,6528,,, warm up gh 4/6
2025,hyac oval,2025-04-20,2025-04-02,18.0,,51.5,4968,,,warm up gh 4/5
2025,daf 1/3,2025-04-20,2025-03-22,29.0,,54,9744,,,
2025,daf 2/3,2025-04-20,2025-03-28,23.0,,52.5,6900,,,on rb benches 
2025,tet 1/3,2025-04-20,2025-03-24,27.0,,57,11016,,,
2025,tet 2/3,2025-04-20,2025-04-04,16.0,,57,6528,,,
2025,tet ovals,2025-04-20,2025-04-05,15.0,,57.5,6300,,,
2025,Additional Notes:,2025-04-20,,,,,,,,
2025,2025 bonzi tulips 20 ppm drench 3-4 days out,2025-04-20,,,,,,,,
2025,2025 florel drench hyac 500 ppm =3 gal florel 2 gal water 2x,2025-04-20,,,,,,,,
